"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem0x13f8","0x13f8","Imimot Kft","","Mitti","1","0","n","n","http://imimot.com/Mitti"
"Oem0x13f9","0x13f9","MCSWE  Technologies INC","","MCSWE LUNA 8","8","8","y","n","http://www.mcswe.com"
"Oem0x13fa","0x13fa","MCSWE  Technologies INC","","MCSWE LUNA 16","16","16","y","n","http://www.mcswe.com"
"Oem0x13fb","0x13fb","Digital Sputnik Lighting","0x098F ","DSL1","1","1","y","y","http://www.digitalsputnik.com/"
"Oem0x13fc","0x13fc","SRS Light Design","0x29A9 ","ANGS4","4","4","y","n","http://www.srslight.com"
"Oem0x13fd","0x13fd","Chauvet DJ","0x21A4 ","DMX AN","2","2","Y","N","http://www.Chauvetdj.com"
"Oem0x13fe","0x13fe","Rosstech Signals","0x034B ","DMXBridge","4","4","y","y","http://www.rosstech.ca"
"Oem0x13ff","0x13ff","LSC Lighting Systems  Aust  Pty  Ltd","0x4C73 ","Mantra Lite","0","3","y","y","http://mantralite.lsclighting.com"
"Oem0x1400","0x1400","DMT","","Pixelstrip controller MKII","1","0","n","n","http://www.highlite.nl/Shop/Products/Audiovisual/LED-Screens/Pixel-Controlled-Shapes/Controller-Pixelstrip-MKII"
"Oem0x1401","0x1401","Elation Lighting","0x22A6 ","TVL Panel DW","1","1","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=2141"
"Oem0x1402","0x1402","RGBlink","","Venus X2","0","0","N","N","http://www.rgblink.com"
"Oem0x1403","0x1403","Elation Lighting","0x22A6 ","TVL Panel DW","1","1","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=2141"
"Oem0x1404","0x1404","Elation Lighting","0x22A6 ","eNode4","1","4","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=1921"
"Oem0x1405","0x1405","Elation Lighting","0x22A6 ","eNode8 Pro","1","8","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=1930"
"Oem0x1406","0x1406","Exalux","","Connect Plus","1","1","y","n","http://www.exalux.eu/"
"Oem0x1407","0x1407","Foshan YiFeng Electric Industrial Co ltd","","CA EN28S","8","8","y","y","http://www.acme.com.cn"
"Oem0x1408","0x1408","Foshan YiFeng Electric Industrial Co ltd","","CA AN28","2","8","y","y","http://www.acme.com.cn"
"Oem0x1409","0x1409","Foshan YiFeng Electric Industrial Co ltd","","CA EN28","8","8","y","y","http://www.acme.com.cn"
"Oem0x140a","0x140a","Foshan YiFeng Electric Industrial Co ltd","","CA AN08","8","8","y","y","http://www.acme.com.cn"
"Oem0x140b","0x140b","Foshan YiFeng Electric Industrial Co ltd","","CA AN04","4","4","y","y","http://www.acme.com.cn"
